order_id,user_id,amount,status,orig
6285679,sdv-id-DlwkKA,247.32,completed,True
13610919,sdv-id-XnMRNR,236.92,completed,True
2219145,sdv-id-voEEPm,250.0,completed,True
12101918,sdv-id-KmGlJb,89.99,completed,True
12934937,sdv-id-momFMT,89.99,completed,True
9181223,sdv-id-IGVqlB,97.73,completed,True
2680647,sdv-id-UzGxXD,89.99,completed,True
5978857,sdv-id-zjPfzS,89.99,completed,True
3782980,sdv-id-xdQUxt,93.19,completed,True
15124768,sdv-id-nYqqKD,188.67,completed,True
9570228,sdv-id-HrJOvf,186.23,completed,True
2252563,sdv-id-nTdEfo,89.99,completed,True
1188767,sdv-id-BIWuuq,133.41,completed,True
3699328,sdv-id-apJuKX,89.99,completed,True
12592497,sdv-id-EpdmIu,139.9,completed,True
1024869,sdv-id-eKtHnu,250.0,completed,True
3985061,sdv-id-XImSKI,89.99,pending,True
6933724,sdv-id-AIdiuL,249.77,completed,True
13544931,sdv-id-cCEsKX,195.42,completed,True
15552637,sdv-id-DfoJZo,90.46,completed,True
8368322,sdv-id-NdcqZC,93.49,completed,True
10735596,sdv-id-uaFuas,232.83,completed,True
8440067,sdv-id-pwMzac,249.04,completed,True
14366574,sdv-id-pIldIH,179.58,completed,True
781313,sdv-id-ihspVg,244.72,completed,True
10233377,sdv-id-fxVQcm,233.52,completed,True
11742871,sdv-id-jjncjz,91.78,completed,True
11651936,sdv-id-citEpT,89.99,pending,True
11650871,sdv-id-tqqvkC,89.99,completed,True
8844123,sdv-id-LVbMpu,89.99,completed,True
1456759,sdv-id-ayHDLW,89.99,completed,True
1824292,sdv-id-qObNsv,89.99,completed,True
16465978,sdv-id-SEebAf,181.79,completed,True
264948,sdv-id-UMEQyQ,249.98,completed,True
1545097,sdv-id-oMwSvB,169.93,completed,True
13614639,sdv-id-kfNCCL,89.99,pending,True
9526938,sdv-id-bmgNCO,250.0,completed,True
1387022,sdv-id-OntZjd,89.99,pending,True
13576250,sdv-id-gESmOK,128.77,completed,True
14393058,sdv-id-tGtWam,89.99,completed,True
12455774,sdv-id-LlejyS,89.99,pending,True
11264903,sdv-id-njEQNi,233.86,completed,True
11884934,sdv-id-qQPiFC,89.99,pending,True
10263472,sdv-id-fSeXXz,98.07,completed,True
14328918,sdv-id-HwvLMi,89.99,pending,True
329651,sdv-id-fFYati,248.74,completed,True
13801320,sdv-id-oeekqQ,117.02,completed,True
14730331,sdv-id-rnbKsN,89.99,completed,True
446842,sdv-id-nACSGa,89.99,completed,True
3946284,sdv-id-gueeov,89.99,pending,True
11133369,sdv-id-nffIrj,89.99,completed,True
9979500,sdv-id-TlSsPf,110.26,completed,True
2602873,sdv-id-NJJhtU,89.99,pending,True
7562320,sdv-id-fbWqMh,89.99,pending,True
13504739,sdv-id-pKcLVr,118.47,completed,True
14512783,sdv-id-cfMUoL,89.99,pending,True
13981408,sdv-id-PfDuPJ,173.46,completed,True
2729922,sdv-id-JQOerS,99.6,completed,True
12413096,sdv-id-MZkWai,247.25,completed,True
6240862,sdv-id-PwPuvb,233.24,completed,True
10623305,sdv-id-jXyrXt,104.17,completed,True
5255082,sdv-id-EpmoTV,92.76,completed,True
8069530,sdv-id-plMfET,89.99,completed,True
4196350,sdv-id-hKoUcu,249.68,completed,True
15285489,sdv-id-JswUma,89.99,pending,True
9380317,sdv-id-ZQQUCw,91.43,completed,True
233630,sdv-id-PFwqPt,239.78,completed,True
7591594,sdv-id-OLLVnq,89.99,pending,True
15442077,sdv-id-KpUtGY,249.96,completed,True
5824350,sdv-id-bLsnxf,89.99,pending,True
10084926,sdv-id-OreZTx,163.35,completed,True
89156,sdv-id-swxaZV,100.82,completed,True
10299544,sdv-id-OiHRSP,89.99,pending,True
12156442,sdv-id-uFXaRH,89.99,pending,True
6296190,sdv-id-JveOIb,185.04,completed,True
15203471,sdv-id-tJfYyE,249.02,completed,True
11730962,sdv-id-akLZvP,89.99,completed,True
9601918,sdv-id-LcCXeJ,236.75,completed,True
7823909,sdv-id-CvGMHC,89.99,completed,True
9645734,sdv-id-nTCkxa,89.99,completed,True
2486953,sdv-id-Domtuf,114.69,completed,True
13822123,sdv-id-LjAkZK,196.36,completed,True
14524335,sdv-id-plTQCf,135.87,completed,True
21610,sdv-id-RdytlC,170.1,completed,True
6056076,sdv-id-xITHKJ,247.33,completed,True
1502210,sdv-id-DcHlQk,249.95,completed,True
14611171,sdv-id-IFGUib,94.6,completed,True
5503353,sdv-id-SQrJPX,89.99,pending,True
3873507,sdv-id-CRsKGV,91.69,completed,True
11984150,sdv-id-ztfbIt,89.99,completed,True
15919255,sdv-id-JVtjqx,218.55,completed,True
11983481,sdv-id-rNYLeu,100.49,completed,True
16389493,sdv-id-rSpMQp,92.64,completed,True
4454252,sdv-id-WsOWpf,101.06,completed,True
1041455,sdv-id-omzirl,249.3,completed,True
11856881,sdv-id-DHmCEB,106.48,completed,True
8439493,sdv-id-sZTZoU,89.99,completed,True
593877,sdv-id-CSzbFW,89.99,completed,True
9533328,sdv-id-dnbCuN,97.84,completed,True
7927741,sdv-id-JhxGja,123.2,completed,True
11134462,sdv-id-HxZJcQ,91.36,completed,True
4050337,sdv-id-wJmtDA,89.99,pending,True
15095679,sdv-id-SjdrLE,89.99,completed,True
